Bank,Title,Description,Date,Open,High,Low,Close,Adj Close,Volume,Title_Sentiment,Description_Sentiment
SBI,"Buy or sell: Is it wise to accumulate SBI, HDFC Bank shares in FY25? - explained","Buy or sell stocks in FY25: Despite the rally in SBI share price in recent sessions, the PSU stock is available at an attractive PE multiple, say experts",2024-03-28,737.75,759.549988,736.900024,752.349976,752.349976,21705116.0,0.6486,0.6249
SBI,"Centre approved printing of 10,000 electoral bonds, three days before SC order","The Supreme Court struck down the 2018 electoral bond scheme on February 15. In its ruling, SC had asked the SBI to furnish all details related to electoral bonds with the Election Commission of India (ECI) within a stipulated deadline.",2024-03-29,,,,,,,0.4215,0.3818
SBI,"Three days before Supreme Court scrapped scheme, Govt cleared printing of Rs 10,000-cr electoral bonds","13 days after apex court order, SBI was told to ‘immediately put a hold’",2024-03-29,,,,,,,0.6124,0.0
SBI,"Top Events on April 1: Arvind Kejriwal's ED hearing, Jalpaiguri storm, JEE admit card, IPL 2024, and more","Top Events of the Day: Arvind Kejriwal's hearing, US visa fees hike, JEE Main Session 2 admit card, SBI maintenance charges increase on debit cards, and more.",2024-03-31,,,,,,,0.3818,0.4215
SBI,"State Bank of India accountholders alert! SBI net banking, YONO mobile app, UPI services down today. Here is why","SBI announces suspension of Internet Banking, Yono Lite, Yono Business Web & Mobile App, YONO, and UPI services on April 1, 2024, for Annual Closing",2024-03-31,,,,,,,0.3595,0.0
SBI,Multibagger defence stock Apollo Micro Systems hits upper circuit after SBI term loan deal,Multibagger stock: Apollo Micro Systems share price today opened upside and went on to touch an intraday high of ₹100.05 apiece on NSE within a few minutes of the stock market's opening bell,2024-03-31,,,,,,,0.1027,0.296
SBI,PM Modi counters claims of BJP 'setback' due to SBI electoral bond data release: 'There may be imperfections but...',Prime Minister Narendra Modi reacted to the electoral bonds case on Sunday. He questioned if any agency could share details of expenditures made during the election before 2014.,2024-03-31,,,,,,,0.0,0.2023
SBI,"Stocks to buy in April: Coal India, ICICI Bank, SBI , Bharti Airtel are among top 15 picks by Axis Securities","Stocks to Buy in April: ICICI Bank, Coal India, Nestle India, SBI , Lupin , Federal Bank, Varun Beverages, TVS Motor Company, Bharti Airtel, PNC infra, CIE Automotive India, Bank of Baroda, Westlife Foodworld, CreditAccess Grameen, JTL Industries are among the top 15 stock picks by Axis Securities",2024-04-01,759.049988,761.5,752.099976,758.299988,758.299988,9949971.0,0.4588,0.4588
SBI,RBI policy meet starts tomorrow: SBI says there could be no rate cut before Q3FY25; here's why,"RBI policy meet starts tomorrow: The Reserve Bank of India (RBI) might only consider cutting rates in the third quarter of the fiscal year 2025 (Q3FY25), as per a report from SBI Research.",2024-04-01,759.049988,761.5,752.099976,758.299988,758.299988,9949971.0,-0.5106,-0.128
SBI,Day trading stocks for today: SBI to Apollo Tyres - Anand Rathi expert recommends three shares to buy today - April 3,"Day trading stocks: Ganesh Dongre of Anand Rathi has recommended three shares to buy today — SBI, Bata India, and Apollo Tyres",2024-04-02,758.200012,768.75,753.349976,766.400024,766.400024,15713063.0,0.4767,0.4588
SBI,"Man Discovers Grandfather's SBI Shares Worth Rs 500 Bought in 1994, Here's the Current Value",Viral Post: Chandigarh pediatrician realises his grandfather brought SBI shares worth Rs 500 in 1994. Here's their present worth.,2024-04-02,758.200012,768.75,753.349976,766.400024,766.400024,15713063.0,0.6705,0.6124
SBI,SBI forecasts 15 percent growth in deposits for FY25; expects RBI rate cut only in Q3FY25,"This outlook comes amidst a backdrop of sustained momentum in credit growth, particularly across agriculture, MSME, and services sectors, as revealed by the latest credit growth numbers.",2024-04-02,758.200012,768.75,753.349976,766.400024,766.400024,15713063.0,0.128,0.8555
SBI,"SBI refuses to disclose SOP for sale, redemption of electoral bonds in RTI reply",She said the SOPs would reveal the official instructions governing the particulars of information that were to be stored as well as the form and manner in which information was to be maintained by the bank on the sale and redemption of the electoral bonds.,2024-04-02,758.200012,768.75,753.349976,766.400024,766.400024,15713063.0,0.0,0.2732
SBI,"Doctor stumbles upon 30-year-old SBI shares purchased by grandparents, leaves internet amused","According to Dr Motiwala, while consolidating his family's financial holdings, he stumbled upon old share certificates tucked away in a forgotten corner.",2024-04-03,764.900024,772.599976,760.150024,771.049988,771.049988,19136981.0,0.6124,0.0772
SBI,"Fixed deposit news: Bank of India revises FD rates. How they compare with SBI, ICICI, HDFC Bank","Bank of India revises FD rates: Senior citizens receive an extra 50 basis points (bps) on tenors of 6 months and above, while super senior citizens are granted an additional 65 bps",2024-04-03,764.900024,772.599976,760.150024,771.049988,771.049988,19136981.0,0.0,0.7096
SBI,"IRFC, Bajaj Finance to HDFC Bank - experts recommend these 5 shares to buy after RBI monetary policy meeting","Shares to buy after RBI monetary policy meeting: Experts have recommended five stocks to buy today — SBI, HDFC Bank, IRFC, Poonawalla Fincorp, and Bajaj Finance",2024-04-04,775.0,775.299988,758.099976,759.299988,759.299988,15889530.0,0.5719,0.4588
SBI,"For electoral bonds, SBI billed govt Rs 10.68 crore as ‘commission’","The transaction and bank charges were levied for each of the 30 phases of the sale and redemption of electoral bonds from 2018 to 2024. The SBI billed the Finance Ministry a total of Rs10.68 crore as “commission” owed, from the start of the scheme.",2024-04-04,775.0,775.299988,758.099976,759.299988,759.299988,15889530.0,0.0,-0.2732
SBI,"SBI Clerk Mains Result 2024 Delayed Due to Lok Sabha Elections, Likely to Be Released in June",The SBI exam authority has taken this decision to delay the Mains result as per the directions of the Ministry of Finance in view of the Lok Sabha elections,2024-04-06,,,,,,,-0.2263,-0.25
SBI,"Stocks to buy: ICICI Bank, IndusInd Bank and SBI - top stock picks among banks from Motilal Oswal ahead of Q4 results","Stocks to buy: ICICI Bank, Axis Bank and Kotak Mahindra Bank are expected to see a 7-11 bps moderation in NIM, while it expects flat NIMs for HDFC Bank, RBL Bank, SBI, IndusInd Bank and Union Bank of India.",2024-04-07,,,,,,,0.2023,0.0
SBI,Buy or sell: SBI Life to Grasim - Vaishali Parekh recommends three stocks to buy today - April 9,"Buy or sell stocks: Vaishali Parekh has recommended three stocks to buy today — SBI Life, Grasim Industries, and Crompton Greaves",2024-04-08,766.049988,770.0,761.799988,768.299988,768.299988,9797174.0,0.2263,0.2023
SBI,"Stock market today: Day trading guide for Nifty 50 to Sensex, six stocks to buy or sell today - April 10","Day trading stocks: Experts have recommended six stocks to buy today — Apollo Hospital, Aurobindo Pharma, E I D-Parry (India), Mishra Dhatu Nigam, SBI Cards and Petronet LNG.",2024-04-09,768.450012,772.450012,761.099976,764.200012,764.200012,7465892.0,0.4019,0.2023
SBI,"Top Stock Recommendations: Sagar Doshi of Nuvama recommends buying Indigo, SBI Cards, and Jubilant Ingrevia today","Top Stock Recommendations: Sagar Doshi of Nuvama Professional Clients Group recommends buying these three stocks today - InterGlobe Aviation Ltd (Indigo), SBI Cards and Payment Services Ltd, and Jubilant Ingrevia Ltd.",2024-04-09,768.450012,772.450012,761.099976,764.200012,764.200012,7465892.0,0.7717,0.7717
SBI,SBI refuses to disclose electoral bonds data under RTI Act despite being available in public domain,The Election Commission of India (ECI) on March 21 published the complete electoral bond data submitted by the State Bank of India (SBI) on the orders of the Supreme Court (SC).,2024-04-11,,,,,,,0.0,0.5574
SBI,Pandit Ravi Shankar playing the guitar? SBI removes social media post after backlash over image,Image was put up on the bank’s social media platforms on 7 April to commemorate the late sitar maestro's birth anniversary. Some users alleged that picture was AI-generated.,2024-04-12,777.25,779.5,764.799988,766.299988,766.299988,14408722.0,0.2023,0.0
SBI,Buy or sell: SBI to Mukand - Vaishali Parekh recommends three stocks to buy today - April 12,"Buy or sell stocks: Vaishali Parekh has recommended three stocks to buy today — SBI, Sumitomo Chemical India, and Mukand",2024-04-13,,,,,,,0.2263,0.2023
SBI,"Market valuation of top firms surges ₹59,404 crore during holiday-shortened week; Airtel and ICICI Bank gain big","Reliance Industries kept its position as the most valued company, followed by TCS, HDFC Bank, ICICI Bank, Bharti Airtel, SBI, Infosys, LIC, ITC, and Hindustan Unilever.",2024-04-13,,,,,,,0.6369,0.4927
SBI,"Zomato, ICICI Bank, Titan, SBI and more: MOSL lists top large-cap stock picks for April","From Zomato to ICICI Bank, SBI, Coal India, Titan, etc., domestic brokerage house Motilal Oswal has come out with its top 11 large-cap stock picks for the month of April. Let's take a look.",2024-04-15,759.799988,763.299988,748.75,757.5,757.5,11356572.0,0.2648,0.2023
SBI,"SBI Securities recommends this small finance bank stock, sees 20% upside potential",Brokerage firm SBI Securities has recommended Suryoday Small Finance Bank stock to buy with a target price of ₹227.8. The brokerage sees an upside potential of over 20 per cent.,2024-04-16,751.25,754.900024,744.400024,751.700012,751.700012,13338991.0,0.4767,0.4588
SBI,"Bank FD Rates: From SBI, PNB To HDFC & ICICI Bank; Check Latest Fixed Deposit Rates",It's imperative to compare the fixed deposit (FD) rates offered by different banks before buying any plan.,2024-04-18,752.049988,759.950012,742.0,744.799988,744.799988,14589648.0,0.0,0.0
SBI,Magic of compounding: ₹1 lakh investment in these two mutual funds at launch would have grown to ₹20 lakh,"If you had invested ₹1 lakh in SBI Magnum Midcap Fund or Quant Mid Cap Fund at the time of launch, the investment would have swelled over 20 times by now.",2024-04-18,752.049988,759.950012,742.0,744.799988,744.799988,14589648.0,0.0,0.0
SBI,"Saturday bank holiday: Are banks closed today, April 20? Check details here","Banks in India, including SBI are open today on April 13. Tripura branches are closed for Garia Puja",2024-04-19,734.5,752.0,732.049988,750.450012,750.450012,10886554.0,0.4019,0.0
SBI,"Top Stock Recommendations: Dharmesh Shah of ICICI Securities suggests buying SBI, Bharat Dynamics on April 22","The Nifty made a sharp recovery (400 points) on Friday, as buying demand emerged near key support of 21700, despite weak sentiments, as prices approached oversold readings.",2024-04-20,,,,,,,0.6249,0.7435
SBI,"Stock market today: Trade setup for Nifty 50 to Sensex, 7 stocks to buy or sell on Monday - 22nd April","Day trading stocks: Experts have recommended seven stocks to buy today — Thermax, JSW Energy, Apar Industries, HAL, ITDC, Jindal Steel, and SBI Card",2024-04-21,,,,,,,0.4019,0.4404
SBI,"Stocks to buy: SBI Card, Repco Home, Hikal among 9 stocks that can rise 11-26% in next 3-4 weeks; do you own any?",Stocks to buy: The market is expected to remain volatile in the short term. Analysts recommend nine stocks that look attractive on technical charts.,2024-04-21,,,,,,,0.0,0.6597
SBI,Battery storage to EV finance: What World Bank's $1bn for SBI will support,This funding comes at a crucial time where the global crude oil supply might be under duress after various conflicts in the Middle East,2024-04-21,,,,,,,0.4019,-0.743
SBI,Buy or sell: Vaishali Parekh recommends three stocks to buy today - April 23,"Buy or sell stocks: Vaishali Parekh has recommended three stocks to buy today — Tata Consumer Products, SBI, and Apollo Hospitals",2024-04-22,754.150024,769.0,750.450012,766.099976,766.099976,17452186.0,0.2263,0.2023
SBI,"Stock market today: Trade setup for Nifty 50 to Sensex, 7 stocks to buy or sell on Tuesday - April 23","Stocks to buy today: Experts have recommended seven buy or sell stocks for today — LIC Housing Finance, SBI, LT, TVS Motor, DACL, Havells India, and Triveni Engineering",2024-04-22,754.150024,769.0,750.450012,766.099976,766.099976,17452186.0,0.4019,0.2023
SBI,"Govt of India, SBI team up with telcos to put a stop to OTP scams, curb cyber frauds, phishing attacks",The government is currently testing a solution that enables banks to monitor both the registered address and geolocation of a customer where a one-time password (OTP) is being delivered. In case of inconsistencies customers will be alerted about a potential phishing attempt,2024-04-23,770.349976,777.700012,765.549988,773.0,773.0,12292429.0,-0.9042,0.3182
SBI,Vodafone Idea FPO: Subscribed 6.36 times amid market volatility,"Domestic investors, including Motilal Oswal Mutual Fund, HDFC Mutual Fund, SBI General Insurance and Quant Mutual Fund, were allocated shares in the anchor round.",2024-04-23,770.349976,777.700012,765.549988,773.0,773.0,12292429.0,0.0,0.296
SBI,"FSIB Recommends Rana Ashutosh Kumar Singh for SBI MD, Asheesh Pandey for Indian Bank MD","New Delhi: The headhunter bureau for selecting directors of public sector banks (PSBs) and financial institutions, Financial Services Institutions Bureau (FSIB), on Wednesday, has recommended two...",2024-04-24,778.5,778.5,770.200012,773.099976,773.099976,7842615.0,0.2263,0.2023
SBI,SBI share price climbs to a new peak as stock market pares morning losses. Buy or sell?,SBI share price today bounced back strongly after a gap down opening and touched a new peak of ₹806 apiece on NSE,2024-04-24,778.5,778.5,770.200012,773.099976,773.099976,7842615.0,-0.128,0.5106
SBI,"Home Loans: Top 5 banks including HDFC, SBI with lowest rates of interest - check full list",HDFC Bank charges interest rate on its home loan in the range of 9.4 to 9.95 percent per annum. SBI charges a rate that hovers between 9.15 percent and 9.75 percent based on the borrower’s CIBIL score.,2024-04-25,770.650024,814.400024,769.650024,812.700012,812.700012,36732974.0,0.296,-0.0516
SBI,"SBI Life Insurance Q4 results: Net profit rises 4% YoY to ₹811 crore, premium income jumps 26%",SBI Life Insurance Q4 results: Life insurers have seen a rise in the share of low-margin unit-linked insurance plans (ULIPs) amid a strong domestic equity market,2024-04-25,770.650024,814.400024,769.650024,812.700012,812.700012,36732974.0,0.4404,0.6705
SBI,India needs 3 strong telecom companies: SBI Chairman Khara,"Vodafone raised Rs 18,000 crore from the market earlier this week. The sector continues to flourish and continues to be the backbone of digitalisation, he said.",2024-04-26,815.900024,816.900024,798.900024,801.299988,801.299988,14963247.0,0.5106,0.0
SBI,SBI Life Q4 profit rises 4% to ₹811 crore,SBI Life Insurance on Friday reported 4 per cent rise in net profit at Rs 811 crore for the fourth quarter ended March 2024 as value of new business grew modestly.,2024-04-26,815.900024,816.900024,798.900024,801.299988,801.299988,14963247.0,0.4404,0.6486
